elapse,in,out,current,existing,creating,averageLatency
50513461540,12,6,0,20,0,2.785213742737349
50614504488,16,13,0,20,0,2.77220547898659
50713827170,7,10,0,20,0,2.766603318262941
50813694882,14,15,0,20,0,2.755360084419433
50914699745,7,13,0,20,0,2.7497727398758514
51015025828,10,8,0,20,0,2.7419765175361053
51113591182,12,9,0,20,0,2.73269234684288
51213298113,7,12,0,20,0,2.7271957743259105
51314337083,10,7,0,20,0,2.719329762711866
51414171806,13,10,0,19,0,2.709262557205242
51514090893,20,11,5,18,0,2.7298431565217403
51614035804,12,18,0,18,0,2.811622301413326
51713466238,12,12,0,17,0,2.8197985441218747
51814062564,8,14,0,15,0,2.8134825500430174
51913446516,8,10,0,15,0,2.8072668632331905
52013999558,10,7,0,15,4,2.79930783024251
52113743476,11,9,0,15,4,2.807973746302616
52214071327,13,11,1,15,4,2.8072298990929694
52314174689,10,14,0,19,1,2.812485599321841
52413813220,8,12,0,19,1,2.8062796853679153
52513560895,8,8,0,19,1,2.800131362869197
52613990613,16,7,0,20,0,2.787799503220385
52715243479,10,13,0,20,0,2.7802454001675496
52813036327,11,14,0,20,0,2.771801698496658
52913794162,15,8,0,20,0,2.7605933836983634
53013615083,10,16,0,20,0,2.7533340428531927
53114069813,18,10,0,20,0,2.7399851716643737
53214831210,12,14,0,20,0,2.73923169454346
53314922263,11,16,0,20,2,2.732056236468015
53414388756,6,11,0,20,2,2.727675385098253
53513749707,15,7,0,20,2,2.716727939385702
53613357255,10,13,0,22,0,2.709516832203848
53713619030,10,11,0,22,0,2.7023144801297634
53813249340,16,8,0,22,0,2.6909742409152075
53914040143,13,19,0,22,0,2.681738773068669
54013825808,13,13,0,22,0,2.6725506474204743
54114473010,5,12,0,22,0,2.6690369855846225
54213994573,7,7,0,22,0,2.6643595888622427
54313981834,15,4,0,22,0,2.6540011950636937
54413863208,8,15,0,22,0,2.6484313612288135
54514629534,12,10,0,22,0,2.640233901003168
54613974467,14,11,0,22,0,2.630710125460284
54714352963,11,11,0,22,0,2.6231981135588764
54814150684,13,13,0,22,0,2.614483891531624
54904296959,6,14,0,22,0,2.6104327507828797
55014914097,17,7,0,22,0,2.599178998960768
55113598852,16,14,0,22,0,2.5889875956015516
55214235517,3,16,0,22,0,2.5871665041365035
55314518966,0,7,0,22,0,2.5871665041365035
55413329030,0,0,0,22,0,2.5871665041365035
55513549491,0,0,0,22,0,2.5871665041365035
55614227068,0,0,0,22,0,2.5871665041365035
55714209430,0,0,0,22,0,2.5871665041365035
55814065538,0,0,0,22,0,2.5871665041365035
55913973939,0,0,0,22,0,2.5871665041365035
56015198020,0,0,0,22,0,2.5871665041365035
56114446501,0,0,0,22,0,2.5871665041365035
56214492552,0,0,0,22,0,2.5871665041365035
56314593704,0,0,0,22,0,2.5871665041365035
56414120239,0,0,0,22,0,2.5871665041365035
56514515604,0,0,0,22,0,2.5871665041365035
56614079594,0,0,0,22,0,2.5871665041365035
56713430623,0,0,0,22,0,2.5871665041365035
56814329559,0,0,0,22,0,2.5871665041365035
56914251292,0,0,0,22,0,2.5871665041365035
57013557705,0,0,0,22,0,2.5871665041365035
57114339624,0,0,0,22,0,2.5871665041365035
57213261174,0,0,0,22,0,2.5871665041365035
57313278175,0,0,0,22,0,2.5871665041365035
57413693430,0,0,0,22,0,2.5871665041365035
57514002300,0,0,0,22,0,2.5871665041365035
57614610654,0,0,0,22,0,2.5871665041365035
57714217966,0,0,0,22,0,2.5871665041365035
57814018829,0,0,0,22,0,2.5871665041365035
57914297959,0,0,0,22,0,2.5871665041365035
58013207579,0,0,0,22,0,2.5871665041365035
58114293443,0,0,0,22,0,2.5871665041365035
58214136221,0,0,0,22,0,2.5871665041365035
58313909597,0,0,0,22,0,2.5871665041365035
58413514041,0,0,0,22,0,2.5871665041365035
58514367828,0,0,0,21,0,2.5871665041365035
58614294760,0,0,0,18,0,2.5871665041365035
58713969207,0,0,0,16,0,2.5871665041365035
58814228551,0,0,0,14,0,2.5871665041365035
58914196862,0,0,0,13,0,2.5871665041365035
59013293487,0,0,0,12,0,2.5871665041365035
59113610487,0,0,0,12,0,2.5871665041365035
59214514579,0,0,0,11,0,2.5871665041365035
59314281004,0,0,0,6,0,2.5871665041365035
59413146372,0,0,0,4,0,2.5871665041365035
59513767412,0,0,0,4,0,2.5871665041365035
59613771837,0,0,0,1,0,2.5871665041365035
59714380980,0,0,0,0,0,2.5871665041365035
59813342494,0,0,0,0,0,2.5871665041365035
59914790760,0,0,0,0,0,2.5871665041365035
60013985565,0,0,0,0,0,2.5871665041365035
60112979516,0,0,0,0,0,2.5871665041365035
60214078518,5,0,5,0,0,2.5871665041365035
60314309885,12,0,17,0,8,2.5871665041365035
60413423053,17,0,34,0,10,2.5871665041365035
60513080903,24,0,58,0,14,2.5871665041365035
60613689017,17,0,67,8,10,3.265368214396284
60713543965,10,8,67,10,10,4.276606043746782
60813300188,0,10,53,14,6,5.702596304615384
60914061966,0,14,35,18,2,7.643377665135272
61013915237,0,12,21,20,0,9.258978223296031
61113186525,0,17,4,20,0,11.206743068878197
61214492528,0,19,0,20,0,11.66922274348596
61314203713,0,5,0,20,0,11.66922274348596
61414055094,0,0,0,20,0,11.66922274348596
61514161755,0,0,0,20,0,11.66922274348596
61613798885,0,0,0,20,0,11.66922274348596
61713927190,0,0,0,20,0,11.66922274348596
61814007706,0,0,0,20,0,11.66922274348596
61914678143,0,0,0,20,0,11.66922274348596
62014110918,0,0,0,20,0,11.66922274348596
62113619879,0,0,0,20,0,11.66922274348596
62213760199,0,0,0,20,0,11.66922274348596
62314649718,0,0,0,20,0,11.66922274348596
62414094111,0,0,0,20,0,11.66922274348596
62513578118,0,0,0,20,0,11.66922274348596
62613579578,0,0,0,20,0,11.66922274348596
62713557852,0,0,0,20,0,11.66922274348596
62814315215,0,0,0,20,0,11.66922274348596
62914280190,0,0,0,20,0,11.66922274348596
63013370560,0,0,0,20,0,11.66922274348596
63114404871,0,0,0,20,0,11.66922274348596
63214240890,0,0,0,20,0,11.66922274348596
63313830445,0,0,0,20,0,11.66922274348596
63413021138,0,0,0,20,0,11.66922274348596
63513933117,0,0,0,20,0,11.66922274348596
63614039859,0,0,0,20,0,11.66922274348596
63714719726,0,0,0,20,0,11.66922274348596
63814042286,0,0,0,20,0,11.66922274348596
63913537279,0,0,0,20,0,11.66922274348596
64014024071,0,0,0,20,0,11.66922274348596
64113521355,0,0,0,20,0,11.66922274348596
64215037244,0,0,0,20,0,11.66922274348596
64313702815,0,0,0,20,0,11.66922274348596
64413578294,0,0,0,20,0,11.66922274348596
64513908102,0,0,0,20,0,11.66922274348596
64613717172,0,0,0,20,0,11.66922274348596
64714054671,0,0,0,20,0,11.66922274348596
64813904360,0,0,0,20,0,11.66922274348596
64913757642,0,0,0,20,0,11.66922274348596
65013511229,0,0,0,20,0,11.66922274348596
65114261692,0,0,0,20,0,11.66922274348596
65213786626,0,0,0,20,0,11.66922274348596
65315543179,0,0,0,20,0,11.66922274348596
65413393182,0,0,0,20,0,11.66922274348596
65514228194,0,0,0,20,0,11.66922274348596
65613274729,0,0,0,20,0,11.66922274348596
65713594754,0,0,0,20,0,11.66922274348596
65814160203,0,0,0,20,0,11.66922274348596
65914345509,0,0,0,20,0,11.66922274348596
66013699525,0,0,0,20,0,11.66922274348596
